Ticker,Last Price,Market Cap,PE Ratio,EPS,Revenue,Net Income,Dividend Yield,52 Week High,52 Week Low,Beta,Volume,Average Volume,Sector,Industry
CMCSA,36.35499954223633,137458974720.0,8.781401,4.14,123731000000.0,16192000000.0,3.62,45.31,32.5,1.001,6552454.0,23761857.0,Communication Services,Telecom Services
AMCR,10.270000457763672,14843642880.0,18.672728,0.55,13640000000.0,730000000.0,5.0,11.48,8.8,0.847,5136398.0,17511311.0,Consumer Cyclical,Packaging & Containers
MSTR,319.0350036621094,82368454656.0,,-6.05,463456000.0,-1166661000.0,,543.0,67.806,3.259,5577220.0,23063549.0,Technology,Software - Application
RKLB,24.4601993560791,10981651456.0,,-0.38,244592000.0,-182571000.0,,33.34,3.47,1.993,14375313.0,20678616.0,Industrials,Aerospace & Defense
HBAN,16.405000686645508,23848933376.0,13.446722,1.22,7385000000.0,1940000000.0,3.68,18.45,12.05,1.093,7454884.0,16731303.0,Financial Services,Banks - Regional
ET,19.854999542236328,68126670848.0,15.511719,1.28,82671000000.0,4814000000.0,6.46,21.45,14.52,1.678,5061890.0,16113794.0,Energy,Oil & Gas Midstream
DKNG,48.415000915527344,23721220096.0,,-1.05,4767699000.0,-507285000.0,,53.61,28.69,1.923,4599480.0,8767218.0,Consumer Cyclical,Gambling
SNAP,10.694199562072754,18141212672.0,,-0.42,5361398000.0,-697856000.0,,17.33,8.29,0.997,6645648.0,29825288.0,Communication Services,Internet Content & Information
ON,55.81999969482422,23523719168.0,15.37741,3.63,7082300000.0,1572800000.0,,85.16,46.57,1.613,3795683.0,8012705.0,Technology,Semiconductors
CMG,52.73500061035156,71473856512.0,47.50901,1.11,11313853000.0,1534110000.0,,69.2614,47.98,1.269,3393376.0,9478137.0,Consumer Cyclical,Restaurants
LRCX,89.43000030517578,114797715456.0,27.182371,3.29,14905386000.0,3827772000.0,1.05,113.0,68.87,1.469,6893996.0,12029062.0,Technology,Semiconductor Equipment & Materials
UBER,80.48999786376953,168144420864.0,17.651316,4.56,43978000000.0,9856000000.0,,87.0,54.84,1.387,5108686.0,28201045.0,Technology,Software - Application
CLSK,9.9350004196167,2789827584.0,Infinity,0.0,378968000.0,-145777000.0,,24.72,8.04,4.252,8641384.0,30188842.0,Financial Services,Capital Markets
MRK,86.76000213623047,219471560704.0,12.872404,6.74,60115000000.0,365000000.0,3.79,134.63,81.04,0.396,4177433.0,13971562.0,Healthcare,Drug Manufacturers - General
TEVA,17.125,19622510592.0,,-1.45,16544000000.0,-1639000000.0,,22.8,12.51,0.712,4665110.0,12128713.0,Healthcare,Drug Manufacturers - Specialty & Generic
ABEV,1.9049999713897705,30685167616.0,12.699999,0.15,79736900000.0,14501900000.0,5.74,2.72,1.76,0.539,2916712.0,38220850.0,Consumer Defensive,Beverages - Brewers
CE,52.20000076293945,5706086400.0,,-13.86,10940000000.0,1960000000.0,0.22,172.16,51.8828,1.164,1872301.0,2638342.0,Basic Materials,Chemicals
UMC,6.539899826049805,16495000576.0,10.380794,0.63,222533000000.0,59688950000.0,7.04,9.0,5.61,1.168,3524587.0,11709816.0,Technology,Semiconductors
IREN,12.260000228881836,2628801536.0,,-0.3,188758000.0,-28955000.0,,15.92,4.15,3.61,6853305.0,16849835.0,Financial Services,Capital Markets
ETSY,51.060001373291016,5467096576.0,21.727661,2.35,2748377000.0,307568000.0,,74.82,47.1,1.999,2133885.0,3546296.0,Consumer Cyclical,Internet Retail
QS,5.0960001945495605,2611552256.0,,-0.94,0.0,-445145000.0,,9.52,4.65,4.449,6024060.0,16292962.0,Consumer Cyclical,Auto Parts
NKE,76.61000061035156,113316151296.0,23.645061,3.24,51362000000.0,5700000000.0,2.08,106.62,68.62,1.015,3852805.0,13070264.0,Consumer Cyclical,Footwear & Accessories
NGD,3.059999942779541,2439658240.0,153.0,0.02,786500000.0,-64500000.0,,3.25,1.1,,9310830.0,10253755.0,Basic Materials,Gold
PARA,11.425000190734863,8083998720.0,,-9.06,29652000000.0,-608000000.0,1.75,14.54,9.54,1.71,3438425.0,9737223.0,Communication Services,Entertainment
